IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.137.96,2052,2052,false,NRT,Asia Pacific,Tokyo,72,13.63
140.238.48.97,2053,2053,true,NRT,Asia Pacific,Tokyo,141,13.60
158.101.140.255,2052,2052,false,NRT,Asia Pacific,Tokyo,70,13.59
132.145.123.159,8443,8443,true,NRT,Asia Pacific,Tokyo,71,13.59
168.138.195.31,2083,2083,true,NRT,Asia Pacific,Tokyo,70,13.57
64.110.72.66,443,443,true,SIN,Asia Pacific,Singapore,115,13.56
132.145.126.204,2083,2083,true,NRT,Asia Pacific,Tokyo,70,13.54
132.145.127.21,2053,2053,true,NRT,Asia Pacific,Tokyo,69,13.52
132.145.112.247,8080,8080,false,NRT,Asia Pacific,Tokyo,71,13.52
131.186.44.38,2052,2052,false,NRT,Asia Pacific,Tokyo,69,13.50
141.147.179.64,8443,8443,true,NRT,Asia Pacific,Tokyo,70,13.46
155.248.162.160,2052,2052,false,NRT,Asia Pacific,Tokyo,69,13.45
155.248.160.116,80,80,false,NRT,Asia Pacific,Tokyo,71,13.44
158.179.191.14,2095,2095,false,NRT,Asia Pacific,Tokyo,70,13.42
140.238.39.33,2053,2053,true,NRT,Asia Pacific,Tokyo,104,13.39
141.147.175.230,2082,2082,false,NRT,Asia Pacific,Tokyo,69,13.38
132.145.117.216,8080,8080,false,NRT,Asia Pacific,Tokyo,72,13.37
158.101.140.255,8443,8443,true,NRT,Asia Pacific,Tokyo,85,13.36
158.101.137.96,2087,2087,true,NRT,Asia Pacific,Tokyo,84,13.34
131.186.59.232,2087,2087,true,HKG,Asia Pacific,Hong Kong,126,13.32
155.248.160.116,8080,8080,false,NRT,Asia Pacific,Tokyo,70,13.31
158.179.191.14,80,80,false,NRT,Asia Pacific,Tokyo,70,13.30
158.179.191.14,2086,2086,false,NRT,Asia Pacific,Tokyo,71,13.27
132.145.120.118,2086,2086,false,NRT,Asia Pacific,Tokyo,71,13.24
155.248.160.116,2082,2082,false,NRT,Asia Pacific,Tokyo,81,13.17
158.101.159.181,8080,8080,false,NRT,Asia Pacific,Tokyo,95,13.16
141.147.167.225,443,443,true,SIN,Asia Pacific,Singapore,98,13.15
141.147.175.230,8880,8880,false,NRT,Asia Pacific,Tokyo,71,13.12
131.186.40.31,2087,2087,true,HKG,Asia Pacific,Hong Kong,136,13.11
155.248.160.116,8880,8880,false,NRT,Asia Pacific,Tokyo,69,13.10
132.145.123.238,2083,2083,true,NRT,Asia Pacific,Tokyo,69,13.06
141.147.179.64,2083,2083,true,NRT,Asia Pacific,Tokyo,72,13.01
152.70.106.195,2082,2082,false,NRT,Asia Pacific,Tokyo,70,13.01
168.138.200.159,2083,2083,true,NRT,Asia Pacific,Tokyo,70,13.00
141.147.167.40,8880,8880,false,NRT,Asia Pacific,Tokyo,69,12.99
158.179.191.14,2083,2083,true,NRT,Asia Pacific,Tokyo,70,12.97
152.70.98.174,2052,2052,false,NRT,Asia Pacific,Tokyo,72,12.96
158.179.191.14,2053,2053,true,NRT,Asia Pacific,Tokyo,70,12.94
152.70.106.195,8443,8443,true,NRT,Asia Pacific,Tokyo,91,12.94
140.238.41.253,2082,2082,false,NRT,Asia Pacific,Tokyo,70,12.93
158.101.137.96,8080,8080,false,NRT,Asia Pacific,Tokyo,71,12.90
141.147.164.54,8080,8080,false,NRT,Asia Pacific,Tokyo,67,12.88
158.101.159.181,8443,8443,true,NRT,Asia Pacific,Tokyo,86,12.88
141.147.191.211,2083,2083,true,NRT,Asia Pacific,Tokyo,75,12.87
132.145.117.216,80,80,false,NRT,Asia Pacific,Tokyo,69,12.86
152.70.106.185,8880,8880,false,NRT,Asia Pacific,Tokyo,69,12.84
131.186.44.38,80,80,false,NRT,Asia Pacific,Tokyo,67,12.84
141.147.179.64,2052,2052,false,NRT,Asia Pacific,Tokyo,70,12.83
158.179.191.14,2096,2096,true,NRT,Asia Pacific,Tokyo,76,12.83
132.145.120.95,80,80,false,NRT,Asia Pacific,Tokyo,70,12.80
168.138.200.159,2096,2096,true,NRT,Asia Pacific,Tokyo,70,12.79
140.238.40.136,80,80,false,NRT,Asia Pacific,Tokyo,70,12.77
